mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX10;HRZB00ICBE11;30.12.2019;1201,82;1202,96;1198,16;1199,89;-0,16;8251321,85
XZAG;CBX10;HRZB00ICBE11;27.12.2019;1199,19;1201,9;1196,43;1201,82;0,18;4854805,1
XZAG;CBX10;HRZB00ICBE11;23.12.2019;1188,47;1199,63;1188,47;1199,63;0,94;5622170,05
XZAG;CBX10;HRZB00ICBE11;20.12.2019;1190,73;1195,66;1188,47;1188,47;-0,15;3979640,85
XZAG;CBX10;HRZB00ICBE11;19.12.2019;1190,53;1191,68;1189,45;1190,3;-0,03;954941,85
XZAG;CBX10;HRZB00ICBE11;18.12.2019;1193,04;1195,02;1189,75;1190,62;-0,19;3476964,3
XZAG;CBX10;HRZB00ICBE11;17.12.2019;1192,17;1193,82;1189,54;1192,86;0,06;10275319,3
XZAG;CBX10;HRZB00ICBE11;16.12.2019;1187,66;1193,31;1186,79;1192,17;0,39;4696207,05
XZAG;CBX10;HRZB00ICBE11;13.12.2019;1181,17;1190,44;1179,51;1187,57;0,66;7433584,7
XZAG;CBX10;HRZB00ICBE11;12.12.2019;1181,69;1181,98;1178,04;1179,79;-0,17;4846252,55
XZAG;CBX10;HRZB00ICBE11;11.12.2019;1179,25;1181,79;1178,41;1181,79;0,22;3799353,35
XZAG;CBX10;HRZB00ICBE11;10.12.2019;1182;1182,97;1177,94;1179,25;-0,23;5046259,05
XZAG;CBX10;HRZB00ICBE11;9.12.2019;1184,64;1184,64;1179,07;1182;-0,16;4587211,9
XZAG;CBX10;HRZB00ICBE11;6.12.2019;1185,09;1185,13;1180,27;1183,95;-0,09;3220844,95
XZAG;CBX10;HRZB00ICBE11;5.12.2019;1184,78;1187,09;1182,67;1185;0,08;2454822,85
XZAG;CBX10;HRZB00ICBE11;4.12.2019;1187,86;1189,12;1182,84;1184,09;-0,32;2820114,65
XZAG;CBX10;HRZB00ICBE11;3.12.2019;1187,4;1189;1186,25;1187,86;0,04;3558989,45
XZAG;CBX10;HRZB00ICBE11;2.12.2019;1185,27;1188,66;1183,96;1187,4;0,19;3368907,25
XZAG;CBX10;HRZB00ICBE11;29.11.2019;1185;1187,59;1183,12;1185,18;-0,04;8064402,65
XZAG;CBX10;HRZB00ICBE11;28.11.2019;1185,11;1186,41;1180,92;1185,69;0,04;6032981,25
XZAG;CBX10;HRZB00ICBE11;27.11.2019;1183,03;1185,9;1181,72;1185,21;0,07;4646091,25
XZAG;CBX10;HRZB00ICBE11;26.11.2019;1183,81;1189,8;1183,28;1184,42;0,08;4922611,3
XZAG;CBX10;HRZB00ICBE11;25.11.2019;1185,49;1188,19;1178,95;1183,46;-0,16;3298616,35
XZAG;CBX10;HRZB00ICBE11;22.11.2019;1185,27;1186,05;1181,93;1185,4;0,07;1255720,1
XZAG;CBX10;HRZB00ICBE11;21.11.2019;1178,48;1184,58;1177,78;1184,58;0,54;2415000,05
XZAG;CBX10;HRZB00ICBE11;20.11.2019;1181,89;1182,66;1178,24;1178,24;-0,31;3382122,8
XZAG;CBX10;HRZB00ICBE11;19.11.2019;1177,23;1182,33;1177,23;1181,89;0,4;5134540,4
XZAG;CBX10;HRZB00ICBE11;18.11.2019;1172,06;1180,28;1172,06;1177,23;0,38;4698888,7
XZAG;CBX10;HRZB00ICBE11;15.11.2019;1172,37;1174,67;1171,8;1172,82;0,05;2213888,95
XZAG;CBX10;HRZB00ICBE11;14.11.2019;1170,22;1172,88;1168,79;1172,18;0,17;22433845,4
XZAG;CBX10;HRZB00ICBE11;13.11.2019;1171,41;1172,71;1169,77;1170,22;-0,1;3831936,7
XZAG;CBX10;HRZB00ICBE11;12.11.2019;1169,64;1172,1;1167,58;1171,41;0,15;4280660,75
XZAG;CBX10;HRZB00ICBE11;11.11.2019;1175,12;1175,37;1168,59;1169,64;-0,52;2938822,85
XZAG;CBX10;HRZB00ICBE11;8.11.2019;1175,78;1176,43;1169,85;1175,81;-0,02;4078791,85
XZAG;CBX10;HRZB00ICBE11;7.11.2019;1177,41;1178,95;1174,26;1176,01;-0,12;3973489,65
XZAG;CBX10;HRZB00ICBE11;6.11.2019;1176,41;1178,68;1175,47;1177,41;0,09;5312063,65
XZAG;CBX10;HRZB00ICBE11;5.11.2019;1182,66;1182,66;1171,47;1176,32;-0,54;3443815,95
XZAG;CBX10;HRZB00ICBE11;4.11.2019;1180,02;1186,02;1180,02;1182,66;0,22;5136950,4
XZAG;CBX10;HRZB00ICBE11;31.10.2019;1187,51;1188,27;1179,64;1180,02;-0,69;6264018,35
XZAG;CBX10;HRZB00ICBE11;30.10.2019;1194,18;1199,14;1187,38;1188,2;-0,5;5265902,15
XZAG;CBX10;HRZB00ICBE11;29.10.2019;1190,98;1202,78;1187,52;1194,18;0,27;6996408,35
XZAG;CBX10;HRZB00ICBE11;28.10.2019;1186,42;1196,3;1186,42;1190,98;0,37;4106855,4
XZAG;CBX10;HRZB00ICBE11;25.10.2019;1192,45;1193,28;1186,55;1186,6;-0,49;2010252,5
XZAG;CBX10;HRZB00ICBE11;24.10.2019;1195,92;1195,92;1189,06;1192,45;-0,29;2260918,05
XZAG;CBX10;HRZB00ICBE11;23.10.2019;1192,32;1195,93;1186,5;1195,92;0,33;4171582,85
XZAG;CBX10;HRZB00ICBE11;22.10.2019;1188,21;1192,65;1187,97;1192,04;0,32;2100723,75
XZAG;CBX10;HRZB00ICBE11;21.10.2019;1190,6;1197,34;1184,42;1188,21;-0,32;3945727,7
XZAG;CBX10;HRZB00ICBE11;18.10.2019;1189,01;1194,11;1189,01;1191,98;0,22;4480751,2
XZAG;CBX10;HRZB00ICBE11;17.10.2019;1180,35;1192,46;1178,19;1189,34;0,7;8771769,2
XZAG;CBX10;HRZB00ICBE11;16.10.2019;1185,26;1187,3;1173,06;1181,04;-0,36;6694092,5
XZAG;CBX10;HRZB00ICBE11;15.10.2019;1179,22;1187,35;1179,22;1185,26;0,53;8875535,75
XZAG;CBX10;HRZB00ICBE11;14.10.2019;1155,91;1179,32;1152,25;1178,99;2,02;5312691,5
XZAG;CBX10;HRZB00ICBE11;11.10.2019;1151,61;1158,44;1151,61;1155,68;0,35;3450643,05
XZAG;CBX10;HRZB00ICBE11;10.10.2019;1146,55;1151,61;1146,55;1151,61;0,4;1975709,2
XZAG;CBX10;HRZB00ICBE11;9.10.2019;1144,72;1149,9;1144,28;1146,99;0,06;5478994,05
XZAG;CBX10;HRZB00ICBE11;7.10.2019;1143,99;1149,42;1141,51;1146,35;0,21;4316907,95
XZAG;CBX10;HRZB00ICBE11;4.10.2019;1144,48;1146,84;1142,61;1143,99;-0,02;3903376,6
XZAG;CBX10;HRZB00ICBE11;3.10.2019;1154,41;1154,64;1140,3;1144,22;-0,96;6218587,1
XZAG;CBX10;HRZB00ICBE11;2.10.2019;1161,77;1161,77;1153,97;1155,36;-0,54;9148300,6
XZAG;CBX10;HRZB00ICBE11;1.10.2019;1166,18;1166,18;1159,2;1161,6;-0,39;6413450,6
XZAG;CBX10;HRZB00ICBE11;30.9.2019;1176,49;1180,83;1165,66;1166,18;-0,88;11838603,9
XZAG;CBX10;HRZB00ICBE11;27.9.2019;1162,64;1182,35;1162,64;1176,49;1,29;18210338,3
XZAG;CBX10;HRZB00ICBE11;26.9.2019;1142,19;1168,75;1142,19;1161,49;1,69;18012941,25
XZAG;CBX10;HRZB00ICBE11;25.9.2019;1134,36;1142,19;1134,11;1142,19;0,69;11941892,2
XZAG;CBX10;HRZB00ICBE11;24.9.2019;1132,76;1138,17;1131,37;1134,36;0,14;13920832,55
XZAG;CBX10;HRZB00ICBE11;23.9.2019;1117,26;1132,76;1113,43;1132,76;1,39;4717509,4
XZAG;CBX10;HRZB00ICBE11;20.9.2019;1115,62;1118,55;1113,96;1117,18;0,22;2241665,5
XZAG;CBX10;HRZB00ICBE11;19.9.2019;1110,1;1116,05;1110,1;1114,69;0,41;4949276,7
XZAG;CBX10;HRZB00ICBE11;18.9.2019;1103,45;1113,33;1103,45;1110,1;0,67;4022556,3
XZAG;CBX10;HRZB00ICBE11;17.9.2019;1105,65;1106,07;1102,64;1102,7;-0,3;3910117,2
XZAG;CBX10;HRZB00ICBE11;16.9.2019;1097,53;1107,88;1097,53;1106,02;0,77;6778389,8
XZAG;CBX10;HRZB00ICBE11;13.9.2019;1100,28;1104,79;1096,94;1097,53;-0,39;2992834,5
XZAG;CBX10;HRZB00ICBE11;12.9.2019;1096,58;1101,78;1095,14;1101,78;0,47;6453970,4
XZAG;CBX10;HRZB00ICBE11;11.9.2019;1094,53;1096,58;1093,77;1096,58;0,15;1951918,7
XZAG;CBX10;HRZB00ICBE11;10.9.2019;1087,77;1094,99;1086,93;1094,99;0,72;1711876,3
XZAG;CBX10;HRZB00ICBE11;9.9.2019;1086,41;1087,24;1085,01;1087,11;0,06;2291663
XZAG;CBX10;HRZB00ICBE11;6.9.2019;1086,96;1087,29;1083,83;1086,41;0,01;2011724,1
XZAG;CBX10;HRZB00ICBE11;5.9.2019;1087,43;1087,89;1082,01;1086,31;-0,1;3096717
XZAG;CBX10;HRZB00ICBE11;4.9.2019;1086,12;1088,18;1085,22;1087,43;0,12;2186855,3
XZAG;CBX10;HRZB00ICBE11;3.9.2019;1084,98;1087,79;1082,2;1086,12;0,17;3422129,6
