mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;30.12.2019;2022,31;2030,44;2017,43;2017,43;-0,24;8707002,7
XZAG;CBX;HRZB00ICBEX6;27.12.2019;2024,1;2026,58;2018,24;2022,31;-0,11;5649917,68
XZAG;CBX;HRZB00ICBEX6;23.12.2019;2003,84;2024,61;2003,84;2024,61;1,04;6720883,87
XZAG;CBX;HRZB00ICBEX6;20.12.2019;2008,24;2013,75;2003,84;2003,84;-0,22;4815824,71
XZAG;CBX;HRZB00ICBEX6;19.12.2019;2009,28;2011,82;2007,38;2008,24;-0,05;1210088,37
XZAG;CBX;HRZB00ICBEX6;18.12.2019;2015,88;2017,38;2008,66;2009,26;-0,3;4003598,86
XZAG;CBX;HRZB00ICBEX6;17.12.2019;2011,33;2016,68;2005,17;2015,38;0,14;10770841,9
XZAG;CBX;HRZB00ICBEX6;16.12.2019;1996,08;2012,89;1996,08;2012,48;0,71;5426814,65
XZAG;CBX;HRZB00ICBEX6;13.12.2019;1978,89;2000,52;1977,21;1998,24;1,04;7931098,5
XZAG;CBX;HRZB00ICBEX6;12.12.2019;1987,9;1987,9;1975,67;1977,7;-0,53;5537309,32
XZAG;CBX;HRZB00ICBEX6;11.12.2019;1984,21;1989,99;1983,01;1988,16;0,2;3942959,98
XZAG;CBX;HRZB00ICBEX6;10.12.2019;1987,51;1990,28;1981,33;1984,21;-0,17;5378555,25
XZAG;CBX;HRZB00ICBEX6;9.12.2019;1989,27;1989,86;1982,83;1987,51;-0,2;4951801,94
XZAG;CBX;HRZB00ICBEX6;6.12.2019;1995,55;1995,55;1987,32;1991,46;-0,19;3320792,35
XZAG;CBX;HRZB00ICBEX6;5.12.2019;1994,88;2000,22;1993,54;1995,3;0,05;2930171,19
XZAG;CBX;HRZB00ICBEX6;4.12.2019;2004,46;2006,44;1993,23;1994,28;-0,51;3238960,17
XZAG;CBX;HRZB00ICBEX6;3.12.2019;2002,27;2005,86;2000,36;2004,46;0,11;3926412,89
XZAG;CBX;HRZB00ICBEX6;2.12.2019;1994,47;2003,5;1993,2;2002,18;0,33;3809542,85
XZAG;CBX;HRZB00ICBEX6;29.11.2019;1994,05;1999,78;1991,01;1995,61;0,05;8460606,75
XZAG;CBX;HRZB00ICBEX6;28.11.2019;1991,53;1995,7;1987,06;1994,64;0,16;6569904,42
XZAG;CBX;HRZB00ICBEX6;27.11.2019;1993,25;1994,9;1988,99;1991,53;-0,15;5359042,62
XZAG;CBX;HRZB00ICBEX6;26.11.2019;1994,74;2004,54;1993,58;1994,43;0,03;5235535,45
XZAG;CBX;HRZB00ICBEX6;25.11.2019;2003,53;2004,88;1988,2;1993,75;-0,48;3890069,64
XZAG;CBX;HRZB00ICBEX6;22.11.2019;2001,23;2003,78;1998,21;2003,27;0,13;1442644,1
XZAG;CBX;HRZB00ICBEX6;21.11.2019;1994,61;2000,63;1993,36;2000,63;0,3;2707764,27
XZAG;CBX;HRZB00ICBEX6;20.11.2019;1994,41;1998,4;1992,57;1994,61;0,01;4004844,57
XZAG;CBX;HRZB00ICBEX6;19.11.2019;1988,09;1994,92;1988,09;1994,41;0,32;5413082,87
XZAG;CBX;HRZB00ICBEX6;18.11.2019;1976,55;1990,69;1976,55;1988,09;0,54;5374955,02
XZAG;CBX;HRZB00ICBEX6;15.11.2019;1974,86;1977,48;1973,34;1977,48;0,16;2738729,8
XZAG;CBX;HRZB00ICBEX6;14.11.2019;1969,64;1974,57;1966,12;1974,34;0,24;22709291,28
XZAG;CBX;HRZB00ICBEX6;13.11.2019;1971,08;1976,69;1969,44;1969,64;-0,07;4790294,6
XZAG;CBX;HRZB00ICBEX6;12.11.2019;1972,14;1972,78;1967,79;1971,08;-0,05;4837781,33
XZAG;CBX;HRZB00ICBEX6;11.11.2019;1976,04;1976,04;1968,15;1972,14;-0,2;3562292,87
XZAG;CBX;HRZB00ICBEX6;8.11.2019;1975,07;1982,54;1967,56;1976,01;0,05;6248829,01
XZAG;CBX;HRZB00ICBEX6;7.11.2019;1976,64;1978,73;1970,38;1975,07;-0,08;4993538,19
XZAG;CBX;HRZB00ICBEX6;6.11.2019;1978,93;1982,09;1970,91;1976,64;-0,1;6352256,53
XZAG;CBX;HRZB00ICBEX6;5.11.2019;1999,43;1999,49;1976,71;1978,69;-1,04;4193852,59
XZAG;CBX;HRZB00ICBEX6;4.11.2019;1991,98;2000,1;1990,2;1999,43;0,37;7163183,8
XZAG;CBX;HRZB00ICBEX6;31.10.2019;2003,41;2003,76;1987,88;1991,98;-0,51;7051313,12
XZAG;CBX;HRZB00ICBEX6;30.10.2019;2017,1;2017,37;2001,15;2002,26;-0,74;6566377,41
XZAG;CBX;HRZB00ICBEX6;29.10.2019;2014,33;2032,12;2008,73;2017,1;0,12;7823683,36
XZAG;CBX;HRZB00ICBEX6;28.10.2019;2011,4;2024,3;2010,88;2014,73;0,11;4999754,02
XZAG;CBX;HRZB00ICBEX6;25.10.2019;2020,9;2021,02;2010,58;2012,55;-0,41;2538066,84
XZAG;CBX;HRZB00ICBEX6;24.10.2019;2017,2;2024,23;2013,72;2020,9;0,18;2982881,09
XZAG;CBX;HRZB00ICBEX6;23.10.2019;2009,09;2017,2;1999,84;2017,2;0,44;5171236,97
XZAG;CBX;HRZB00ICBEX6;22.10.2019;2008,19;2010,97;2005,14;2008,3;0,01;2967279,88
XZAG;CBX;HRZB00ICBEX6;21.10.2019;2013,05;2018,72;2001,22;2008,19;-0,24;4659667,88
XZAG;CBX;HRZB00ICBEX6;18.10.2019;2011,29;2017,55;2007,89;2013,05;0,09;5086503,04
XZAG;CBX;HRZB00ICBEX6;17.10.2019;1997,62;2017,62;1991,7;2011,29;0,68;9525491,37
XZAG;CBX;HRZB00ICBEX6;16.10.2019;2000,36;2005,55;1989,2;1997,62;-0,16;7476860,18
XZAG;CBX;HRZB00ICBEX6;15.10.2019;1986,21;2004,45;1986,21;2000,79;0,73;10034463,09
XZAG;CBX;HRZB00ICBEX6;14.10.2019;1946,2;1987,23;1941,78;1986,31;2,1;6618265
XZAG;CBX;HRZB00ICBEX6;11.10.2019;1940,56;1949,76;1939,41;1945,55;0,26;3872925,85
XZAG;CBX;HRZB00ICBEX6;10.10.2019;1929,34;1940,56;1928,83;1940,56;0,58;2543819,08
XZAG;CBX;HRZB00ICBEX6;9.10.2019;1927,93;1932,33;1925,07;1929,28;-0,01;6032067,99
XZAG;CBX;HRZB00ICBEX6;7.10.2019;1926,57;1936,12;1924,39;1929,55;0,15;4914600,17
XZAG;CBX;HRZB00ICBEX6;4.10.2019;1926,8;1931,29;1923,48;1926,57;0,03;5592256,48
XZAG;CBX;HRZB00ICBEX6;3.10.2019;1946,68;1947,33;1922,3;1926,05;-1,14;6879049,7
XZAG;CBX;HRZB00ICBEX6;2.10.2019;1954,27;1955,21;1945,82;1948,21;-0,28;9431712,9
XZAG;CBX;HRZB00ICBEX6;1.10.2019;1963,54;1964,4;1951,4;1953,77;-0,5;6900116,52
XZAG;CBX;HRZB00ICBEX6;30.9.2019;1978,73;1988,04;1960,8;1963,54;-0,77;12717171,46
XZAG;CBX;HRZB00ICBEX6;27.9.2019;1961,1;1987,45;1959,43;1978,73;0,97;20072045,98
XZAG;CBX;HRZB00ICBEX6;26.9.2019;1934,63;1967,53;1932,97;1959,7;1,29;19011768,55
XZAG;CBX;HRZB00ICBEX6;25.9.2019;1923,06;1934,67;1923,06;1934,67;0,6;12429320,3
XZAG;CBX;HRZB00ICBEX6;24.9.2019;1921,25;1928,98;1918,69;1923,06;0,09;14752293,13
XZAG;CBX;HRZB00ICBEX6;23.9.2019;1900;1921,25;1895,14;1921,25;1,13;5053331,08
XZAG;CBX;HRZB00ICBEX6;20.9.2019;1896,76;1903,23;1896,54;1899,75;0,14;2682982,91
XZAG;CBX;HRZB00ICBEX6;19.9.2019;1893,77;1900,39;1892,85;1897,16;0,18;5477791,53
XZAG;CBX;HRZB00ICBEX6;18.9.2019;1886,75;1897,98;1885,68;1893,77;0,42;4735524,48
XZAG;CBX;HRZB00ICBEX6;17.9.2019;1894,59;1895,01;1885,35;1885,8;-0,49;5566889,28
XZAG;CBX;HRZB00ICBEX6;16.9.2019;1883,21;1897,73;1882,86;1895,07;0,6;7493689,95
XZAG;CBX;HRZB00ICBEX6;13.9.2019;1889,9;1897,75;1882,1;1883,68;-0,43;3689323,59
XZAG;CBX;HRZB00ICBEX6;12.9.2019;1880,09;1891,94;1877,45;1891,79;0,62;8043626,27
XZAG;CBX;HRZB00ICBEX6;11.9.2019;1880,06;1881,89;1875,46;1880,09;-0,06;2446603,71
XZAG;CBX;HRZB00ICBEX6;10.9.2019;1867,52;1881,28;1866,69;1881,28;0,77;2071398,14
XZAG;CBX;HRZB00ICBEX6;9.9.2019;1864,8;1867,77;1863,36;1866,96;0,12;2725915,36
XZAG;CBX;HRZB00ICBEX6;6.9.2019;1866,42;1867,3;1860,35;1864,8;-0,06;2801641,28
XZAG;CBX;HRZB00ICBEX6;5.9.2019;1869,12;1870,64;1859,83;1865,86;-0,19;3307890,24
XZAG;CBX;HRZB00ICBEX6;4.9.2019;1867,93;1870,47;1866,43;1869,35;0,06;4430645,07
XZAG;CBX;HRZB00ICBEX6;3.9.2019;1866,55;1872,04;1860,82;1868,16;0,12;3852317,05
XZAG;CBX;HRZB00ICBEX6;2.9.2019;1872,87;1873,67;1864,06;1865,99;-0,39;3146108,42
XZAG;CBX;HRZB00ICBEX6;30.8.2019;1875,69;1875,69;1864,39;1873,36;-0,12;5223132,27
XZAG;CBX;HRZB00ICBEX6;29.8.2019;1864,06;1875,69;1863,71;1875,69;0,65;6768680,68
XZAG;CBX;HRZB00ICBEX6;28.8.2019;1872,87;1873,5;1859,56;1863,58;-0,5;7225677,9
XZAG;CBX;HRZB00ICBEX6;27.8.2019;1873,74;1881,1;1867,93;1872,87;-0,05;8130672,84
XZAG;CBX;HRZB00ICBEX6;26.8.2019;1874,25;1874,25;1863,26;1873,74;-0,03;4136554,06
XZAG;CBX;HRZB00ICBEX6;23.8.2019;1872,95;1875,34;1869,07;1874,25;0,07;5902214,72
XZAG;CBX;HRZB00ICBEX6;22.8.2019;1879,33;1881,27;1872,95;1872,95;-0,45;4384690,4
XZAG;CBX;HRZB00ICBEX6;21.8.2019;1875,95;1881,46;1875,58;1881,46;0,29;3034854,47
XZAG;CBX;HRZB00ICBEX6;20.8.2019;1878,43;1880,51;1872,32;1875,95;-0,13;5005305,51
XZAG;CBX;HRZB00ICBEX6;19.8.2019;1882,97;1886,81;1878,26;1878,43;-0,24;4670863,48
XZAG;CBX;HRZB00ICBEX6;16.8.2019;1890,63;1892,06;1879,3;1882,97;-0,41;3906528,83
XZAG;CBX;HRZB00ICBEX6;14.8.2019;1886,2;1895,35;1886,2;1890,63;0,26;5566797,86
XZAG;CBX;HRZB00ICBEX6;13.8.2019;1894,82;1895,43;1882,94;1885,68;-0,45;2699357,3
XZAG;CBX;HRZB00ICBEX6;12.8.2019;1899,04;1903,99;1892,89;1894,12;-0,26;2336395,22
XZAG;CBX;HRZB00ICBEX6;9.8.2019;1897,72;1900,17;1894,8;1899,04;0,07;3991203,17
XZAG;CBX;HRZB00ICBEX6;8.8.2019;1901,12;1901,69;1893,98;1897,72;-0,09;1288039,88
XZAG;CBX;HRZB00ICBEX6;7.8.2019;1899,47;1904,32;1897,82;1899,52;0,08;4110002,65
XZAG;CBX;HRZB00ICBEX6;6.8.2019;1905,88;1905,88;1896,7;1897,97;-0,33;2933829,21
XZAG;CBX;HRZB00ICBEX6;2.8.2019;1911,11;1911,11;1901,25;1904,28;-0,37;3259555,25
XZAG;CBX;HRZB00ICBEX6;1.8.2019;1911,58;1915,78;1905,4;1911,4;-0,01;3059080,69
XZAG;CBX;HRZB00ICBEX6;31.7.2019;1923,68;1923,68;1908,01;1911,58;-0,61;2890839,69
XZAG;CBX;HRZB00ICBEX6;30.7.2019;1921,71;1928,63;1919,82;1923,22;0,08;2768837,88
XZAG;CBX;HRZB00ICBEX6;29.7.2019;1927,89;1930,51;1917,75;1921,71;-0,32;3993249,72
XZAG;CBX;HRZB00ICBEX6;26.7.2019;1918,62;1929,2;1918,62;1927,89;0,48;3184300,16
XZAG;CBX;HRZB00ICBEX6;25.7.2019;1914,83;1920,3;1909,93;1918,62;0,2;4598674,73
XZAG;CBX;HRZB00ICBEX6;24.7.2019;1912,15;1915,09;1907,8;1914,83;0,14;3132976,99
XZAG;CBX;HRZB00ICBEX6;23.7.2019;1916,19;1918,25;1910,73;1912,15;-0,21;4894686,84
XZAG;CBX;HRZB00ICBEX6;22.7.2019;1913,74;1916,61;1906,5;1916,19;0,13;4361516,04
XZAG;CBX;HRZB00ICBEX6;19.7.2019;1903,43;1914,27;1903,43;1913,74;0,54;2580078,45
XZAG;CBX;HRZB00ICBEX6;18.7.2019;1890,62;1905,03;1886,45;1903,43;0,7;2472014,4
XZAG;CBX;HRZB00ICBEX6;17.7.2019;1901,2;1901,81;1889,11;1890,27;-0,57;2049472,71
XZAG;CBX;HRZB00ICBEX6;16.7.2019;1890,63;1901,37;1890,03;1901,2;0,52;2898091,67
XZAG;CBX;HRZB00ICBEX6;15.7.2019;1891,29;1895,51;1880,86;1891,36;-0,03;3545492,7
XZAG;CBX;HRZB00ICBEX6;12.7.2019;1883,75;1891,85;1883,75;1891,85;0,35;4373573,49
XZAG;CBX;HRZB00ICBEX6;11.7.2019;1880,96;1888,62;1879,12;1885,17;0,22;2925704
XZAG;CBX;HRZB00ICBEX6;10.7.2019;1885,44;1888,25;1879,36;1880,96;-0,24;5296177,21
